"id_reserva","id_cliente","GeographyKey","CurrencyKey","tipo_habitacion","noches","monto_reserva_origen","canal_reserva","cancelo_reserva"
"RES00064","CAM05923",79,32,"Standard",9,4753.25,"Agencia","No"
"RES00065","CAM07631",139,73,"Standard",6,417.32,"Booking","No"
"RES00066","CAM07089",133,74,"Standard",8,317.78,"Call Center","No"
"RES00067","CAM04712",437,86,"Deluxe",7,4901.54,"Web","No"
"RES00068","CAM03381",352,96,"Deluxe",8,312.22,"Web","No"
"RES00069","CAM03492",287,45,"Standard",8,3685.31,"Booking","No"
"RES00070","CAM09301",630,80,"Junior Suite",4,3557.45,"Web","No"
"RES00071","CAM01889",307,93,"Standard",8,1132.06,"App","No"
"RES00072","CAM08620",238,86,"Standard",9,3879.42,"Booking","No"
"RES00073","CAM04355",523,26,"Suite Ejecutiva",7,246.17,"Web","No"
"RES00074","CAM01566",327,40,"Deluxe",14,541.84,"Agencia","No"
"RES00075","CAM03987",176,92,"Deluxe",4,2437.41,"Booking","No"
"RES00076","CAM08877",206,71,"Standard",4,3591.74,"Web","No"
"RES00077","CAM02715",199,103,"Standard",5,753.49,"App","No"
"RES00078","CAM09341",614,17,"Standard",9,4603.95,"Web","No"
"RES00079","CAM09330",446,13,"Standard",2,174.38,"App","No"
"RES00080","CAM02356",449,64,"Deluxe",11,2091.03,"Agencia","No"
"RES00081","CAM06098",315,63,"Deluxe",7,3928.93,"Expedia","No"
"RES00082","CAM08225",350,99,"Standard",4,1275.22,"Booking","No"
"RES00083","CAM00276",562,90,"Standard",1,2408.5,"App","No"
"RES00084","CAM00540",276,98,"Suite Ejecutiva",6,518.25,"Booking","No"
"RES00085","CAM03861",204,26,"Standard",8,397.21,"Booking","No"
"RES00086","CAM05666",415,62,"Junior Suite",5,2690.74,"App","No"
"RES00087","CAM02277",186,42,"Suite Presidencial",10,639.62,"Agencia","No"
"RES00088","CAM00143",160,42,"Standard",12,3336.58,"Call Center","Si"
"RES00089","CAM09275",2,49,"Junior Suite",8,1010.99,"Agencia","No"
"RES00090","CAM04897",633,73,"Standard",1,2495.1,"App","No"
"RES00091","CAM09033",502,11,"Standard",10,1154.55,"Booking","Si"
"RES00092","CAM03673",341,92,"Suite Presidencial",11,2887.09,"Web","No"
"RES00093","CAM03180",171,54,"Deluxe",12,2342.64,"Booking","No"
"RES00094","CAM02325",280,45,"Suite Ejecutiva",10,1894.94,"App","No"
"RES00095","CAM00274",373,80,"Suite Presidencial",3,3986.87,"Web","No"
"RES00096","CAM07580",145,31,"Junior Suite",12,2112.94,"Booking","No"
"RES00097","CAM02217",288,86,"Deluxe",5,1488.26,"Web","Si"
"RES00098","CAM01763",622,41,"Standard",14,4244.86,"App","Si"
"RES00099","CAM08122",44,59,"Suite Ejecutiva",7,2230.34,"Web","No"
"RES00100","CAM00354",521,31,"Standard",6,3656.53,"Web","No"
"RES00101","CAM07394",407,19,"Standard",8,1776.93,"Web","Si"
"RES00102","CAM08123",246,29,"Standard",2,3522.59,"App","No"
"RES00103","CAM08426",449,61,"Standard",1,1627.84,"Web","No"
"RES00104","CAM03917",414,42,"Deluxe",11,2866.09,"App","No"
"RES00105","CAM06459",112,81,"Standard",14,3779.85,"Web","No"
"RES00106","CAM03416",486,88,"Deluxe",7,4762.32,"Web","No"
"RES00107","CAM02229",481,5,"Standard",14,2771.93,"Booking","Si"
"RES00108","CAM04646",246,98,"Standard",10,1040.52,"Agencia","No"
"RES00109","CAM08531",114,39,"Standard",2,3946.08,"Expedia","No"
"RES00110","CAM01632",565,86,"Junior Suite",11,2942.72,"Web","No"
"RES00111","CAM01644",565,26,"Deluxe",13,1192.87,"Expedia","No"
"RES00112","CAM01365",605,67,"Standard",9,4201.46,"App","No"
"RES00113","CAM08501",25,93,"Standard",14,3780.1,"Booking","No"
"RES00114","CAM04420",72,1,"Junior Suite",3,4684.9,"App","No"
"RES00115","CAM00799",238,47,"Deluxe",6,3367.78,"Agencia","No"
"RES00116","CAM05685",387,1,"Deluxe",11,1630.4,"Booking","No"
"RES00117","CAM09378",300,105,"Standard",4,4552.62,"Booking","No"
"RES00118","CAM02232",103,69,"Standard",4,1515.07,"Web","No"
"RES00119","CAM09647",484,35,"Standard",7,3176.25,"Agencia","No"
"RES00120","CAM06551",142,81,"Standard",5,2258.56,"Web","Si"
"RES00121","CAM04061",118,44,"Suite Ejecutiva",10,2448.96,"App","No"
"RES00122","CAM03564",561,72,"Standard",11,2319.09,"Booking","No"
"RES00123","CAM09220",478,34,"Junior Suite",2,2746.16,"Web","No"
"RES00124","CAM03384",541,57,"Junior Suite",11,991.92,"Call Center","Si"
"RES00125","CAM09444",114,103,"Standard",6,1666.27,"Web","Si"
"RES00126","CAM09048",369,18,"Standard",7,2447.18,"Agencia","Si"
"RES00127","CAM08547",571,4,"Standard",13,247.35,"Agencia","No"
"RES00128","CAM03979",348,95,"Deluxe",10,3595.9,"Agencia","No"
"RES00129","CAM08726",653,90,"Deluxe",5,2701.66,"App","No"
"RES00130","CAM05921",630,49,"Standard",14,4194.2,"Web","Si"
"RES00131","CAM04893",231,19,"Standard",3,704.93,"Agencia","No"
"RES00132","CAM09668",445,95,"Suite Presidencial",5,143.55,"Call Center","No"
"RES00133","CAM03859",185,14,"Deluxe",14,2179.23,"Web","No"
"RES00134","CAM04845",560,87,"Standard",4,3100.88,"Expedia","No"
"RES00135","CAM03647",433,21,"Standard",3,4622.29,"Expedia","No"
"RES00136","CAM07941",437,67,"Standard",9,4747.46,"Web","No"
"RES00137","CAM09286",350,26,"Junior Suite",13,362.22,"Expedia","No"
"RES00138","CAM09595",6,40,"Standard",14,4793.56,"App","No"
"RES00139","CAM06355",82,73,"Junior Suite",3,1499.05,"Booking","No"
"RES00140","CAM04623",349,81,"Suite Presidencial",6,2825.86,"Web","Si"
"RES00141","CAM08445",17,32,"Standard",8,1423.26,"Web","No"
"RES00142","CAM07626",105,30,"Standard",1,4301.03,"Call Center","No"
"RES00143","CAM07467",475,28,"Standard",11,3327.73,"Call Center","No"
"RES00144","CAM07735",560,101,"Standard",13,1588.57,"Expedia","No"
"RES00145","CAM08612",475,21,"Deluxe",5,1846.13,"Expedia","No"
"RES00146","CAM09124",255,51,"Junior Suite",12,2873.18,"Web","No"
"RES00147","CAM08467",371,52,"Standard",7,271.39,"Booking","No"
"RES00148","CAM04701",533,22,"Suite Ejecutiva",3,2976.98,"Web","No"
"RES00149","CAM09344",426,103,"Standard",13,4019.59,"Booking","No"
"RES00150","CAM09334",623,56,"Standard",3,970.13,"Agencia","No"
"RES00151","CAM02661",497,72,"Deluxe",5,2384.62,"Web","No"
"RES00152","CAM04548",485,98,"Standard",13,1323.23,"Call Center","No"
"RES00153","CAM05998",568,105,"Standard",11,348.84,"Web","No"
"RES00154","CAM01398",636,68,"Standard",14,2591.59,"Booking","No"
"RES00155","CAM04269",648,19,"Deluxe",2,3578.94,"Expedia","No"
"RES00156","CAM04382",130,61,"Standard",2,4933.01,"App","No"
"RES00157","CAM02690",159,100,"Standard",2,1690.65,"Booking","No"
"RES00158","CAM04978",220,57,"Deluxe",11,2886.32,"Booking","No"
"RES00159","CAM07742",579,43,"Suite Presidencial",3,1932.66,"Web","No"
"RES00160","CAM02830",555,66,"Deluxe",9,334.43,"App","No"
"RES00161","CAM06507",354,25,"Standard",12,2902.9,"Expedia","No"
"RES00162","CAM09591",285,7,"Deluxe",9,3139.69,"Web","No"
"RES00163","CAM05885",509,38,"Suite Ejecutiva",7,4399.19,"Expedia","No"
"RES00164","CAM00377",276,55,"Junior Suite",14,813.35,"App","No"
"RES00165","CAM06167",343,89,"Junior Suite",2,4992,"Expedia","Si"
"RES00166","CAM08986",376,25,"Standard",13,3918.03,"Web","No"
"RES00167","CAM05839",130,60,"Standard",1,2735.93,"Booking","No"
"RES00168","CAM05162",310,104,"Deluxe",3,2581.61,"App","Si"
"RES00169","CAM09770",365,1,"Deluxe",2,3959.1,"Booking","No"
"RES00170","CAM01820",385,64,"Junior Suite",8,387.45,"Web","Si"
"RES00171","CAM09496",3,17,"Deluxe",4,1376.38,"App","No"
"RES00172","CAM00776",513,46,"Suite Ejecutiva",13,629.82,"Booking","No"
"RES00173","CAM04094",398,63,"Standard",6,127.68,"Web","No"
"RES00174","CAM09872",262,101,"Standard",14,4042.59,"Call Center","No"
"RES00175","CAM03393",442,89,"Deluxe",11,882.39,"Expedia","No"
"RES00176","CAM02228",52,35,"Standard",3,2005.4,"Booking","No"
"RES00177","CAM06533",544,1,"Suite Ejecutiva",14,3309.65,"Web","No"
"RES00178","CAM04650",334,79,"Suite Ejecutiva",1,4600.21,"App","Si"
"RES00179","CAM08299",476,9,"Standard",11,3360.74,"Web","No"
"RES00180","CAM01109",235,105,"Suite Ejecutiva",6,1523.16,"Web","No"
"RES00181","CAM08754",379,1,"Suite Ejecutiva",3,4358.7,"Web","No"
"RES00182","CAM08598",10,43,"Deluxe",4,4280.76,"Expedia","No"
"RES00183","CAM07872",100,61,"Standard",9,1620.19,"Web","Si"
"RES00184","CAM02038",143,68,"Junior Suite",12,4183.08,"Agencia","No"
"RES00185","CAM09539",85,22,"Deluxe",14,1416.73,"Booking","No"
"RES00186","CAM06143",48,15,"Standard",12,1428.52,"Agencia","No"
"RES00187","CAM00444",298,38,"Standard",8,1414.72,"Booking","Si"
"RES00188","CAM03893",650,20,"Deluxe",7,3920.22,"App","No"
"RES00189","CAM00636",92,51,"Standard",6,3027.77,"Booking","No"
"RES00190","CAM00322",211,30,"Deluxe",3,4060.06,"Booking","No"
"RES00191","CAM08589",11,93,"Junior Suite",2,1357.83,"Web","No"
"RES00192","CAM06092",585,9,"Suite Presidencial",14,2239.26,"Web","No"
"RES00193","CAM05818",625,60,"Deluxe",4,4406.28,"Call Center","No"
"RES00194","CAM07047",429,88,"Standard",13,803.45,"Booking","No"
"RES00195","CAM01982",372,87,"Suite Ejecutiva",2,4521.95,"App","No"
"RES00196","CAM04865",77,67,"Suite Presidencial",2,1519.77,"Booking","No"
"RES00197","CAM08089",424,47,"Standard",10,1060.51,"Web","No"
"RES00198","CAM01988",67,21,"Standard",10,721.12,"Booking","No"
"RES00199","CAM01187",344,25,"Standard",10,1538.3,"Call Center","No"
"RES00200","CAM05776",272,7,"Standard",14,3023.92,"App","Si"
"RES00201","CAM08695",180,19,"Junior Suite",6,2732.29,"Call Center","No"
"RES00202","CAM07230",20,45,"Standard",6,3717.04,"Expedia","No"
"RES00203","CAM02008",209,99,"Standard",2,2788.07,"App","No"
"RES00204","CAM09124",174,70,"Deluxe",2,817.4,"Web","No"
"RES00205","CAM06153",615,8,"Deluxe",9,3015.39,"Web","No"
"RES00206","CAM07208",504,84,"Deluxe",7,3334.91,"Web","No"
"RES00207","CAM01273",246,4,"Standard",5,1271.74,"Expedia","No"
"RES00208","CAM06018",415,14,"Deluxe",9,1714.35,"Call Center","No"
"RES00209","CAM02688",645,46,"Standard",2,2606.02,"Expedia","Si"
"RES00210","CAM09740",566,19,"Standard",11,1002.79,"Call Center","No"
"RES00211","CAM07141",354,8,"Suite Ejecutiva",3,2177.95,"Web","No"
"RES00212","CAM06390",385,46,"Standard",5,4095.72,"Web","No"
"RES00213","CAM02998",85,37,"Standard",13,4053.67,"Agencia","No"
"RES00214","CAM06293",606,88,"Suite Ejecutiva",12,1604.69,"Call Center","Si"
"RES00215","CAM03896",290,70,"Standard",11,2665.77,"Booking","No"
"RES00216","CAM03996",349,60,"Suite Ejecutiva",13,4242.79,"Web","No"
"RES00217","CAM04276",499,78,"Standard",3,2571.12,"Booking","No"
"RES00218","CAM03788",654,50,"Junior Suite",1,908.99,"Booking","No"
"RES00219","CAM01786",126,13,"Suite Presidencial",13,3240.87,"Expedia","No"
"RES00220","CAM02874",9,30,"Standard",13,2025.42,"Agencia","No"
"RES00221","CAM03572",435,21,"Standard",1,215.56,"Web","No"
"RES00222","CAM02067",240,88,"Suite Ejecutiva",8,3797.24,"Call Center","No"
"RES00223","CAM03064",492,89,"Standard",12,1729.2,"App","No"
"RES00224","CAM08876",496,67,"Deluxe",8,4603,"Web","Si"
"RES00225","CAM09630",588,43,"Suite Presidencial",8,426.93,"App","No"
"RES00226","CAM03146",192,83,"Deluxe",12,2749.22,"Expedia","No"
"RES00227","CAM00910",142,58,"Standard",14,4591.41,"Web","No"
"RES00228","CAM06736",389,92,"Suite Ejecutiva",11,2996.27,"Web","No"
"RES00229","CAM06208",609,7,"Standard",1,1080.83,"Web","Si"
"RES00230","CAM05594",153,43,"Suite Ejecutiva",1,2072.43,"App","No"
"RES00231","CAM03337",256,77,"Standard",5,4517.78,"Booking","No"
"RES00232","CAM08643",649,31,"Deluxe",7,2551.44,"App","No"
"RES00233","CAM09586",403,25,"Standard",6,1998.56,"Web","No"
"RES00234","CAM05494",168,25,"Standard",3,3012.65,"Booking","No"
"RES00235","CAM09855",411,26,"Deluxe",12,2792.26,"App","No"
"RES00236","CAM05856",162,5,"Junior Suite",13,2899.56,"Expedia","No"
"RES00237","CAM01905",208,73,"Deluxe",11,1208.43,"Booking","Si"
"RES00238","CAM08792",250,102,"Suite Ejecutiva",12,3293.09,"Booking","No"
"RES00239","CAM01084",213,84,"Standard",11,1606.63,"Web","No"
"RES00240","CAM01506",367,38,"Standard",1,2572.03,"Agencia","No"
"RES00241","CAM04769",249,50,"Standard",4,939.51,"Booking","No"
"RES00242","CAM01723",318,39,"Standard",10,1265.63,"Booking","No"
"RES00243","CAM03691",275,70,"Junior Suite",11,1240.65,"Booking","No"
"RES00244","CAM09702",487,21,"Deluxe",1,1947.2,"Expedia","No"
"RES00245","CAM02921",250,88,"Standard",7,1217.55,"Booking","No"
"RES00246","CAM01089",502,92,"Deluxe",11,4412.78,"App","Si"
"RES00247","CAM01475",71,83,"Standard",3,3168.63,"App","No"
"RES00248","CAM05431",258,23,"Deluxe",13,4737.19,"App","No"
"RES00249","CAM09822",649,65,"Standard",9,3028.58,"Web","No"
"RES00250","CAM05710",262,28,"Standard",7,785.05,"Web","Si"
"RES00251","CAM02075",145,19,"Deluxe",11,2745.6,"Expedia","No"
"RES00252","CAM08916",464,47,"Standard",1,728.27,"Expedia","No"
"RES00253","CAM05178",244,40,"Junior Suite",8,4186.32,"Booking","No"
"RES00254","CAM01834",191,43,"Junior Suite",12,1494.99,"Agencia","No"
"RES00255","CAM01840",533,58,"Suite Ejecutiva",11,3762.27,"Agencia","No"
"RES00256","CAM09225",469,27,"Standard",1,3713.88,"Expedia","No"
"RES00257","CAM03453",531,71,"Standard",1,2196.4,"Web","No"
"RES00258","CAM02130",487,7,"Standard",3,2943.05,"App","No"
"RES00259","CAM01288",369,73,"Suite Presidencial",3,3255.04,"Web","No"
"RES00260","CAM02852",132,96,"Standard",9,4158.36,"Agencia","No"
"RES00261","CAM07970",593,30,"Standard",10,2661.78,"Booking","No"
"RES00262","CAM07391",252,4,"Standard",4,2586.47,"Expedia","No"
"RES00263","CAM07289",225,8,"Standard",9,4288.29,"Booking","No"
"RES00264","CAM01682",535,63,"Deluxe",5,4856.28,"App","No"
"RES00265","CAM02136",71,19,"Deluxe",10,1394.33,"Web","No"
"RES00266","CAM06895",608,7,"Standard",7,1586.3,"App","No"
"RES00267","CAM04993",318,64,"Deluxe",6,4798.68,"Expedia","No"
"RES00268","CAM07149",288,12,"Junior Suite",13,1558.65,"Call Center","No"
"RES00269","CAM06992",467,45,"Suite Ejecutiva",8,397.2,"Web","Si"
"RES00270","CAM09118",159,95,"Standard",10,2126.61,"Agencia","No"
"RES00271","CAM00903",261,2,"Standard",3,113.1,"Booking","No"
"RES00272","CAM01841",216,67,"Junior Suite",4,1351.11,"Booking","Si"
"RES00273","CAM02877",325,39,"Standard",10,1535.63,"App","No"
"RES00274","CAM00369",264,54,"Junior Suite",7,2156.12,"Booking","No"
"RES00275","CAM02893",651,93,"Suite Ejecutiva",1,2017.55,"Booking","No"
"RES00276","CAM08961",10,96,"Suite Ejecutiva",5,476.19,"Booking","No"
"RES00277","CAM03740",97,44,"Standard",3,3774.15,"Web","No"
"RES00278","CAM08758",360,6,"Junior Suite",5,457.47,"Expedia","No"
"RES00279","CAM01447",225,82,"Deluxe",1,3747.02,"Expedia","Si"
"RES00280","CAM08206",432,31,"Standard",9,877.85,"Expedia","No"
"RES00281","CAM01618",531,47,"Deluxe",5,488.32,"Booking","No"
"RES00282","CAM02276",532,104,"Deluxe",2,1052.93,"App","No"
"RES00283","CAM00543",355,22,"Suite Presidencial",13,1539.22,"Web","Si"
"RES00284","CAM05297",428,49,"Junior Suite",8,3748.39,"Call Center","No"
"RES00285","CAM06765",75,54,"Standard",8,3533.75,"Call Center","No"
"RES00286","CAM01932",50,1,"Suite Ejecutiva",4,2360.05,"Expedia","No"
"RES00287","CAM09401",57,60,"Deluxe",7,553.44,"Booking","No"
"RES00288","CAM02238",371,48,"Standard",1,4392.15,"Booking","No"
"RES00289","CAM01617",186,16,"Deluxe",2,3844.29,"Booking","No"
"RES00290","CAM01311",162,56,"Deluxe",11,2110.6,"App","No"
"RES00291","CAM09070",260,19,"Standard",3,373.73,"Call Center","No"
"RES00292","CAM00764",8,46,"Junior Suite",8,2443.19,"Web","No"
"RES00293","CAM06482",134,94,"Junior Suite",8,1408.81,"App","Si"
"RES00294","CAM08971",16,22,"Deluxe",4,403.11,"Web","No"
"RES00295","CAM02299",578,29,"Standard",13,4898.75,"Expedia","No"
"RES00296","CAM02957",171,68,"Standard",3,848.08,"Web","No"
"RES00297","CAM06804",464,26,"Standard",5,1515.57,"Expedia","No"
"RES00298","CAM01081",298,58,"Standard",2,4162.97,"Booking","No"
"RES00299","CAM02882",495,86,"Standard",13,4208.54,"Booking","No"
"RES00300","CAM08789",530,37,"Deluxe",12,2380.64,"Web","Si"
"RES00301","CAM07955",139,27,"Deluxe",5,1456.76,"App","No"
"RES00302","CAM01201",444,47,"Deluxe",7,2255.45,"Expedia","No"
"RES00303","CAM05033",322,69,"Standard",8,857.36,"Booking","No"
"RES00304","CAM06722",586,29,"Standard",9,126.92,"App","No"
"RES00305","CAM03610",120,95,"Standard",7,4805.71,"Agencia","No"
"RES00306","CAM09325",456,57,"Deluxe",2,1660.64,"Expedia","No"
"RES00307","CAM05556",212,96,"Standard",12,3560.64,"Web","Si"
"RES00308","CAM09292",527,102,"Junior Suite",9,4385.34,"App","No"
"RES00309","CAM09560",176,104,"Deluxe",3,883.74,"Agencia","Si"
"RES00310","CAM02928",611,10,"Junior Suite",9,2106.42,"Web","No"
"RES00311","CAM08751",580,66,"Standard",8,662.06,"Web","No"
"RES00312","CAM00285",349,58,"Junior Suite",5,1745.66,"Web","No"
"RES00313","CAM06223",13,44,"Standard",5,4360.86,"Web","No"
"RES00314","CAM04218",559,25,"Suite Ejecutiva",13,4932.27,"Agencia","No"
"RES00315","CAM05952",556,73,"Standard",4,466.86,"Expedia","No"
"RES00316","CAM00842",498,53,"Standard",9,1504.93,"Web","No"
"RES00317","CAM01000",596,84,"Standard",1,1648.18,"App","Si"
"RES00318","CAM03404",26,60,"Junior Suite",5,2233.99,"Expedia","No"
"RES00319","CAM07603",187,20,"Junior Suite",14,2126.6,"Expedia","No"
"RES00320","CAM03220",370,26,"Standard",11,431.33,"Web","No"
"RES00321","CAM02614",68,98,"Deluxe",11,4175.15,"Web","No"
"RES00322","CAM05581",617,4,"Standard",12,3617.7,"Agencia","No"
"RES00323","CAM06662",266,101,"Junior Suite",2,559.35,"Expedia","No"
"RES00324","CAM02298",641,87,"Deluxe",6,4256.92,"Web","No"
"RES00325","CAM00466",444,32,"Standard",12,2801.45,"Web","No"
"RES00326","CAM00935",134,81,"Deluxe",1,1993.43,"Agencia","No"
"RES00327","CAM00498",309,68,"Standard",3,1011.51,"Expedia","No"
"RES00328","CAM04633",79,86,"Suite Ejecutiva",1,3460.74,"Web","No"
"RES00329","CAM04073",45,44,"Deluxe",14,3204.27,"Web","No"
"RES00330","CAM08887",648,10,"Standard",9,3876.08,"Booking","No"
"RES00331","CAM09014",244,97,"Standard",11,3135.31,"Booking","No"
"RES00332","CAM01293",29,72,"Deluxe",14,1602.55,"App","No"
"RES00333","CAM09983",192,35,"Standard",1,642.1,"Web","No"
"RES00334","CAM05440",113,66,"Standard",11,1445.31,"Web","No"
"RES00335","CAM03834",414,73,"Suite Ejecutiva",4,1147.05,"App","No"
"RES00336","CAM02701",563,25,"Deluxe",4,131,"Booking","No"
"RES00337","CAM03039",651,102,"Deluxe",5,3630.17,"Web","No"
"RES00338","CAM04791",289,99,"Standard",8,247.71,"Booking","Si"
"RES00339","CAM07176",481,91,"Standard",14,1053.08,"Web","Si"
"RES00340","CAM02434",501,43,"Standard",5,3149.56,"App","No"
"RES00341","CAM07547",8,35,"Deluxe",4,2644.71,"Expedia","No"
"RES00342","CAM03903",559,96,"Standard",4,1572.4,"Web","Si"
"RES00343","CAM07378",494,46,"Suite Ejecutiva",11,1361.68,"Expedia","No"
"RES00344","CAM04407",617,49,"Standard",4,2844.18,"Call Center","No"
"RES00345","CAM04068",137,32,"Standard",4,4587.96,"App","No"
"RES00346","CAM09438",161,90,"Standard",14,596.46,"App","No"
"RES00347","CAM03441",190,46,"Deluxe",10,2440.7,"Expedia","No"
"RES00348","CAM08999",518,4,"Standard",13,4460.01,"Booking","No"
"RES00349","CAM02078",227,23,"Standard",11,2563.94,"Expedia","No"
"RES00350","CAM06403",188,69,"Deluxe",3,1610.04,"Expedia","No"
"RES00351","CAM02272",649,41,"Suite Ejecutiva",7,3822.34,"Web","No"
"RES00352","CAM03925",94,104,"Junior Suite",11,3507.71,"Booking","No"
"RES00353","CAM05782",508,104,"Junior Suite",3,617.66,"Booking","No"
"RES00354","CAM09837",134,21,"Standard",14,3285.09,"Expedia","No"
"RES00355","CAM07913",3,62,"Deluxe",13,1712.35,"Booking","No"
"RES00356","CAM08649",225,18,"Deluxe",14,4278.88,"Expedia","No"
"RES00357","CAM00502",619,27,"Junior Suite",10,2370.9,"Booking","No"
"RES00358","CAM09898",586,16,"Standard",14,3514.51,"Expedia","No"
"RES00359","CAM03075",84,87,"Suite Presidencial",12,273.04,"Web","No"
"RES00360","CAM00237",66,2,"Standard",9,1810.55,"Web","No"
"RES00361","CAM00668",479,29,"Standard",4,2639.36,"Booking","No"
"RES00362","CAM01042",281,8,"Standard",12,2126.54,"Web","No"
"RES00363","CAM08375",48,98,"Suite Ejecutiva",9,2294.46,"Booking","No"
"RES00364","CAM02113",154,80,"Standard",8,1709.89,"Agencia","No"
"RES00365","CAM06985",56,86,"Standard",3,401.51,"Agencia","No"
"RES00366","CAM09257",397,34,"Standard",6,2827.87,"Call Center","No"
"RES00367","CAM07089",136,32,"Standard",3,3009.98,"App","Si"
"RES00368","CAM04293",174,61,"Deluxe",14,1314.83,"Call Center","Si"
"RES00369","CAM07615",277,48,"Standard",1,3789.87,"Web","No"
"RES00370","CAM05309",188,71,"Junior Suite",10,4697.04,"Agencia","No"
